Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Day Of Week
2022-03-03,AQS,60010007,3,6.5,ug/m3 LC,27,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-03-04,AQS,60010007,3,8.5,ug/m3 LC,35,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-03-05,AQS,60010007,3,4.2,ug/m3 LC,18,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-03-06,AQS,60010007,3,5.7,ug/m3 LC,24,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-03-07,AQS,60010007,3,6.0,ug/m3 LC,25,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-03-08,AQS,60010007,3,4.4,ug/m3 LC,18,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-03-09,AQS,60010007,3,7.5,ug/m3 LC,31,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-03-10,AQS,60010007,3,4.0,ug/m3 LC,17,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-03-11,AQS,60010007,3,5.2,ug/m3 LC,22,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-03-12,AQS,60010007,3,4.9,ug/m3 LC,20,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-03-13,AQS,60010007,3,6.9,ug/m3 LC,29,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-03-14,AQS,60010007,3,7.0,ug/m3 LC,29,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-03-15,AQS,60010007,3,4.1,ug/m3 LC,17,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-03-16,AQS,60010007,3,6.1,ug/m3 LC,25,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-03-17,AQS,60010007,3,7.4,ug/m3 LC,31,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-03-18,AQS,60010007,3,5.1,ug/m3 LC,21,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-03-19,AQS,60010007,3,3.8,ug/m3 LC,16,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-03-20,AQS,60010007,3,5.1,ug/m3 LC,21,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-03-21,AQS,60010007,3,7.6,ug/m3 LC,32,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-03-22,AQS,60010007,3,2.9,ug/m3 LC,12,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-03-23,AQS,60010007,3,6.0,ug/m3 LC,25,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-03-24,AQS,60010007,3,6.4,ug/m3 LC,27,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-03-25,AQS,60010007,3,5.3,ug/m3 LC,22,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-03-26,AQS,60010007,3,3.5,ug/m3 LC,15,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-03-27,AQS,60010007,3,2.7,ug/m3 LC,11,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-03-28,AQS,60010007,3,2.5,ug/m3 LC,10,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-03-29,AQS,60010007,3,4.5,ug/m3 LC,19,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-03-30,AQS,60010007,3,6.0,ug/m3 LC,25,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-03-31,AQS,60010007,3,7.2,ug/m3 LC,30,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-04-01,AQS,60010007,3,8.1,ug/m3 LC,34,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-04-02,AQS,60010007,3,7.9,ug/m3 LC,33,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-04-03,AQS,60010007,3,8.0,ug/m3 LC,33,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
2022-04-04,AQS,60010007,3,6.8,ug/m3 LC,28,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Monday
2022-04-05,AQS,60010007,3,6.1,ug/m3 LC,25,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Tuesday
2022-04-06,AQS,60010007,3,4.9,ug/m3 LC,20,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Wednesday
2022-04-07,AQS,60010007,3,9.4,ug/m3 LC,39,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Thursday
2022-04-08,AQS,60010007,3,11.3,ug/m3 LC,47,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Friday
2022-04-09,AQS,60010007,3,10.9,ug/m3 LC,45,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Saturday
2022-04-10,AQS,60010007,3,4.2,ug/m3 LC,18,Livermore,1,100.0,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217,Sunday
