"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/28/2023","AirNow","060850002","3","4","ug/m3 LC","17","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/01/2023","AirNow","060850002","3","5.8","ug/m3 LC","24","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/02/2023","AirNow","060850002","3","6.9","ug/m3 LC","29","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/03/2023","AirNow","060850002","3","6.8","ug/m3 LC","28","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/04/2023","AirNow","060850002","3","7.5","ug/m3 LC","31","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/05/2023","AirNow","060850002","3","6.2","ug/m3 LC","26","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/06/2023","AirNow","060850002","3","5","ug/m3 LC","21","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/07/2023","AirNow","060850002","3","5.6","ug/m3 LC","23","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/08/2023","AirNow","060850002","3","5.5","ug/m3 LC","23","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
"03/09/2023","AirNow","060850002","3","5","ug/m3 LC","21","Gilroy","1","100.0000","88101","PM2.5 - Local Conditions","41940","San Jose-Sunnyvale-Santa Clara, CA","06","California","085","Santa Clara","36.999571","-121.574684"
